['https://www.nginx.com', 0.1232876712328767]
['https://www.ubuntu.com', 0.13013698630136986]
['https://www.rapid7.com', 0.1232876712328767]
['https://www.proofpoint.com', 0.136986301369863]
['https://www.schneier.com', 0.15753424657534246]
['https://www.ovh.com', 0.136986301369863]
['https://www.malwarebytes.com', 0.13013698630136986]
['https://www.ovhcloud.com', 0.136986301369863]
['https://www.qualys.com', 0.14383561643835616]
['https://www.entrust.net', 0.13013698630136986]
['https://www.apache-ssl.org', 0.136986301369863]
['https://www.netcraft.com', 0.1506849315068493]
['https://www.comodo.com', 0.13013698630136986]
['https://www.download.com', 0.13013698630136986]
['https://www.networkworld.com', 0.1232876712328767]
['https://www.computerweekly.com', 0.14383561643835616]
['https://www.avira.com', 0.1780821917808219]
['https://www.us-cert.gov', 0.136986301369863]
['https://www.zscaler.com', 0.15753424657534246]
['https://www.trustwave.com', 0.136986301369863]
['https://www.jdsupra.com', 0.1232876712328767]
['https://www.anvato.net', 0.14383561643835616]
['https://www.knowbe4.com', 0.13013698630136986]
['https://www.sonicwall.com', 0.15753424657534246]
['https://www.welivesecurity.com', 0.1643835616438356]
['https://www.synopsys.com', 0.13013698630136986]
['https://www.f5.com', 0.136986301369863]
['https://www.ovh.co.uk', 0.136986301369863]
['https://www.malwarebytes.org', 0.13013698630136986]
['https://www.haproxy.com', 0.1232876712328767]
['https://www.openvpn.net', 0.1506849315068493]
['https://www.comparitech.com', 0.1506849315068493]
['https://www.helpnetsecurity.com', 0.136986301369863]
['https://www.governmentjobs.com', 0.15753424657534246]
['https://www.imperva.com', 0.136986301369863]
