['https://www.live.com', 0.07534246575342465]
['https://www.github.com', 0.0684931506849315]
['https://www.outlook.com', 0.07534246575342465]
['https://www.digicert.com', 0.0821917808219178]
['https://www.lencr.org', 0.0684931506849315]
['https://www.cloudflare.com', 0.1095890410958904]
['https://www.php.net', 0.06164383561643835]
['https://www.opendns.com', 0.0821917808219178]
['https://www.cisco.com', 0.0684931506849315]
['https://www.dailymail.co.uk', 0.0684931506849315]
['https://www.azure.com', 0.1095890410958904]
['https://www.nist.gov', 0.07534246575342465]
['https://www.zdnet.com', 0.08904109589041095]
['https://www.redhat.com', 0.0684931506849315]
['https://www.icloud-content.com', 0.06164383561643835]
['https://www.mathtag.com', 0.0684931506849315]
['https://www.venturebeat.com', 0.07534246575342465]
['https://www.fao.org', 0.06164383561643835]
['https://www.softonic.com', 0.06164383561643835]
['https://www.mdpi.com', 0.1095890410958904]
['https://www.mitre.org', 0.08904109589041095]
['https://www.eff.org', 0.11643835616438356]
['https://www.okta.com', 0.0684931506849315]
['https://www.uspto.gov', 0.06164383561643835]
['https://www.namecheap.com', 0.07534246575342465]
['https://www.acm.org', 0.08904109589041095]
['https://www.novell.com', 0.07534246575342465]
['https://www.fbi.gov', 0.0821917808219178]
['https://www.howtogeek.com', 0.06164383561643835]
['https://www.techrepublic.com', 0.0684931506849315]
['https://www.protonmail.com', 0.0821917808219178]
['https://www.globalsign.com', 0.0821917808219178]
['https://www.computerworld.com', 0.07534246575342465]
['https://www.nokia.com', 0.0958904109589041]
['https://www.bankrate.com', 0.06164383561643835]
['https://www.bitbucket.org', 0.07534246575342465]
['https://www.sophos.com', 0.11643835616438356]
['https://www.level3.com', 0.0958904109589041]
['https://www.firefox.com', 0.0821917808219178]
['https://www.coindesk.com', 0.0684931506849315]
['https://www.business-standard.com', 0.07534246575342465]
['https://www.domaintools.com', 0.11643835616438356]
['https://www.fujitsu.com', 0.0684931506849315]
['https://www.mimecast.com', 0.0821917808219178]
['https://www.oraclecloud.com', 0.07534246575342465]
['https://www.tenable.com', 0.08904109589041095]
['https://www.hotmail.com', 0.07534246575342465]
['https://www.tawk.to', 0.06164383561643835]
['https://www.curl.se', 0.06164383561643835]
['https://www.buzzfeednews.com', 0.0684931506849315]
['https://www.dreamhost.com', 0.1095890410958904]
['https://www.uidai.gov.in', 0.1095890410958904]
['https://www.bitchute.com', 0.0958904109589041]
['https://www.hardened-php.net', 0.0821917808219178]
['https://www.globalsign.net', 0.0821917808219178]
['https://www.blackberry.com', 0.11643835616438356]
['https://www.smallseotools.com', 0.06164383561643835]
['https://www.siteground.com', 0.1095890410958904]
['https://www.ionos.com', 0.07534246575342465]
['https://www.bitdefender.com', 0.07534246575342465]
['https://www.hackernoon.com', 0.06164383561643835]
['https://www.cylance.com', 0.0958904109589041]
['https://www.infoworld.com', 0.07534246575342465]
['https://www.windowsazure.com', 0.1095890410958904]
['https://www.onelogin.com', 0.07534246575342465]
['https://www.netgear.com', 0.0684931506849315]
['https://www.logmein.com', 0.07534246575342465]
['https://www.auspost.com.au', 0.06164383561643835]
['https://www.checkpoint.com', 0.11643835616438356]
['https://www.duosecurity.com', 0.11643835616438356]
['https://www.dzone.com', 0.07534246575342465]
['https://www.jetpack.com', 0.06164383561643835]
['https://www.nordvpn.com', 0.0958904109589041]
['https://www.dailykos.com', 0.0684931506849315]
['https://www.gao.gov', 0.06164383561643835]
['https://www.ccm.net', 0.0821917808219178]
['https://www.cisa.gov', 0.06164383561643835]
['https://www.pbworks.com', 0.0684931506849315]
['https://www.iaea.org', 0.06164383561643835]
['https://www.tsa.gov', 0.06164383561643835]
['https://www.sucuri.net', 0.0958904109589041]
['https://www.zimbra.com', 0.07534246575342465]
['https://www.dev.to', 0.07534246575342465]
['https://www.daringfireball.net', 0.1095890410958904]
['https://www.wmo.int', 0.06164383561643835]
['https://www.whois.com', 0.07534246575342465]
['https://www.pluralsight.com', 0.0684931506849315]
['https://www.n-able.com', 0.08904109589041095]
['https://www.ensighten.com', 0.10273972602739725]
['https://www.cleartax.in', 0.06164383561643835]
['https://www.gandi.net', 0.08904109589041095]
['https://www.fca.org.uk', 0.06164383561643835]
['https://www.rackspace.com', 0.07534246575342465]
['https://www.brave.com', 0.0821917808219178]
['https://www.getgo.com', 0.07534246575342465]
['https://www.delltechnologies.com', 0.0684931506849315]
['https://www.doc.gov', 0.06164383561643835]
['https://www.thedrive.com', 0.06164383561643835]
['https://www.linuxfoundation.org', 0.0684931506849315]
['https://www.iobit.com', 0.06164383561643835]
['https://www.microfocus.com', 0.07534246575342465]
['https://www.uptodate.com', 0.06164383561643835]
['https://www.infoq.com', 0.1095890410958904]
['https://www.mongodb.com', 0.06164383561643835]
['https://www.webrootcloudav.com', 0.11643835616438356]
['https://www.capgemini.com', 0.08904109589041095]
['https://www.hcaptcha.com', 0.0958904109589041]
['https://www.paloaltonetworks.com', 0.10273972602739725]
['https://www.gnupg.org', 0.0821917808219178]
['https://www.epik.com', 0.0821917808219178]
['https://www.techopedia.com', 0.0684931506849315]
['https://www.microchip.com', 0.0684931506849315]
['https://www.digikey.com', 0.06164383561643835]
