['https://www.nginx.com', 0.1232876712328767]
['https://www.ubuntu.com', 0.13013698630136986]
['https://www.rapid7.com', 0.1232876712328767]
['https://www.proofpoint.com', 0.136986301369863]
['https://www.schneier.com', 0.15753424657534246]
['https://www.ovh.com', 0.136986301369863]
['https://www.ovhcloud.com', 0.136986301369863]
['https://www.qualys.com', 0.14383561643835616]
['https://www.entrust.net', 0.13013698630136986]
['https://www.malwarebytes.com', 0.13013698630136986]
['https://www.apache-ssl.org', 0.136986301369863]
['https://www.netcraft.com', 0.1506849315068493]
['https://www.comodo.com', 0.13013698630136986]
['https://www.computerweekly.com', 0.14383561643835616]
['https://www.avira.com', 0.1780821917808219]
['https://www.networkworld.com', 0.1232876712328767]
['https://www.download.com', 0.13013698630136986]
['https://www.us-cert.gov', 0.136986301369863]
['https://www.trustwave.com', 0.136986301369863]
['https://www.zscaler.com', 0.15753424657534246]
['https://www.knowbe4.com', 0.13013698630136986]
['https://www.anvato.net', 0.14383561643835616]
['https://www.welivesecurity.com', 0.1643835616438356]
['https://www.sonicwall.com', 0.15753424657534246]
['https://www.ovh.co.uk', 0.136986301369863]
['https://www.f5.com', 0.136986301369863]
['https://www.openvpn.net', 0.1506849315068493]
['https://www.comparitech.com', 0.1506849315068493]
['https://www.malwarebytes.org', 0.13013698630136986]
['https://www.haproxy.com', 0.1232876712328767]
['https://www.governmentjobs.com', 0.15753424657534246]
['https://www.helpnetsecurity.com', 0.136986301369863]
['https://www.infomaniak.com', 0.14383561643835616]
['https://www.edureka.co', 0.1232876712328767]
['https://www.litespeedtech.com', 0.1232876712328767]
['https://www.computing.co.uk', 0.13013698630136986]
['https://www.imperva.com', 0.136986301369863]
['https://www.vpnmentor.com', 0.1643835616438356]
['https://www.watchguard.com', 0.13013698630136986]
['https://www.entrust.com', 0.14383561643835616]
['https://www.avastbrowser.com', 0.15753424657534246]
['https://www.barracuda.com', 0.1232876712328767]
['https://www.fortiguard.com', 0.14383561643835616]
['https://www.paperblog.com', 0.13013698630136986]
['https://www.securityboulevard.com', 0.1780821917808219]
['https://www.cybersecurityventures.com', 0.15753424657534246]
['https://www.absolute.com', 0.1232876712328767]
['https://www.barracudanetworks.com', 0.1232876712328767]
['https://www.ssh.com', 0.14383561643835616]
['https://www.ssl.com', 0.136986301369863]
['https://www.pirateproxy-bay.com', 0.1232876712328767]
['https://www.umbrella.com', 0.1232876712328767]
['https://www.free-av.com', 0.1780821917808219]
['https://www.totalbattle.com', 0.1506849315068493]
['https://www.ipqualityscore.com', 0.1232876712328767]
['https://www.miniorange.com', 0.17123287671232876]
['https://www.sepio.systems', 0.1232876712328767]
['https://www.brighthub.com', 0.13013698630136986]
['https://www.t-systems.com', 0.1232876712328767]
['https://www.360totalsecurity.com', 0.14383561643835616]
['https://www.marco.org', 0.1232876712328767]
['https://www.superantispyware.com', 0.13013698630136986]
['https://www.openlinksw.com', 0.136986301369863]
['https://www.tpbproxypirate.com', 0.17123287671232876]
['https://www.securityaffairs.co', 0.136986301369863]
['https://www.v3.co.uk', 0.13013698630136986]
['https://www.dnssearch.org', 0.1232876712328767]
['https://www.webhostingsecretrevealed.net', 0.1643835616438356]
['https://www.thesslstore.com', 0.13013698630136986]
['https://www.heimdalsecurity.com', 0.1780821917808219]
['https://www.silverstripe.org', 0.136986301369863]
['https://www.shapesecurity.com', 0.13013698630136986]
['https://www.wireguard.com', 0.1232876712328767]
['https://www.hipaajournal.com', 0.1506849315068493]
['https://www.dialogflow.com', 0.14383561643835616]
['https://www.quad9.net', 0.15753424657534246]
['https://www.incapsula.com', 0.136986301369863]
['https://www.cloudflare-ipfs.com', 0.13013698630136986]
['https://www.cyber.gov.au', 0.136986301369863]
['https://www.ensilo.com', 0.15753424657534246]
['https://www.infomaniak.ch', 0.14383561643835616]
['https://www.gdatasoftware.com', 0.13013698630136986]
['https://www.hackertarget.com', 0.136986301369863]
['https://www.tcell.io', 0.1232876712328767]
['https://www.helpsystems.com', 0.13013698630136986]
['https://www.vpnoverview.com', 0.13013698630136986]
['https://www.spamfighter.com', 0.13013698630136986]
['https://www.circleid.com', 0.17123287671232876]
['https://www.antivirus-software.org', 0.136986301369863]
['https://www.softether.org', 0.1232876712328767]
['https://www.s2member.com', 0.136986301369863]
['https://www.ubuntulinux.org', 0.13013698630136986]
['https://www.milesweb.in', 0.15753424657534246]
['https://www.appriver.com', 0.1232876712328767]
['https://www.abuse.ch', 0.136986301369863]
['https://www.cryptolisting.org', 0.17123287671232876]
['https://www.segurazo.com', 0.1232876712328767]
['https://www.restoreprivacy.com', 0.1232876712328767]
['https://www.techdigest.tv', 0.15753424657534246]
['https://www.hivelocity.net', 0.1780821917808219]
['https://www.siteguarding.com', 0.15753424657534246]
['https://www.censys.io', 0.1232876712328767]
['https://www.proofpointessentials.com', 0.136986301369863]
['https://www.pcrisk.com', 0.1643835616438356]
['https://www.changelog.com', 0.13013698630136986]
['https://www.pentestpartners.com', 0.13013698630136986]
['https://www.ubuntu.org.cn', 0.13013698630136986]
['https://www.avira.net', 0.1780821917808219]
['https://www.techweekeurope.co.uk', 0.1506849315068493]
['https://www.whoisxmlapi.com', 0.15753424657534246]
['https://www.arbornetworks.com', 0.13013698630136986]
['https://www.safenet-inc.com', 0.1643835616438356]
['https://www.airvpn.org', 0.1232876712328767]
['https://www.gbhackers.com', 0.1780821917808219]
['https://www.topantivirussoftware.org', 0.13013698630136986]
['https://www.brixly.uk', 0.1780821917808219]
['https://www.twofactorauth.org', 0.1780821917808219]
['https://www.immuniweb.com', 0.15753424657534246]
['https://www.llrx.com', 0.14383561643835616]
['https://www.gdatasecurity.de', 0.15753424657534246]
['https://www.solari.com', 0.136986301369863]
['https://www.perception-point.io', 0.14383561643835616]
['https://www.inky.com', 0.136986301369863]
['https://www.exabeam.com', 0.136986301369863]
['https://www.dmarcanalyzer.com', 0.1232876712328767]
['https://www.databreaches.net', 0.1232876712328767]
['https://www.zagtech.com', 0.1232876712328767]
['https://www.expresscomputer.in', 0.1232876712328767]
['https://www.cso.com.au', 0.14383561643835616]
['https://www.flashpoint-intel.com', 0.14383561643835616]
['https://www.netiq.com', 0.13013698630136986]
['https://www.reposhub.com', 0.1780821917808219]
['https://www.clario.co', 0.17123287671232876]
['https://www.avastreviews.com', 0.1506849315068493]
['https://www.hackingloops.com', 0.17123287671232876]
['https://www.venafi.com', 0.17123287671232876]
['https://www.any.run', 0.13013698630136986]
['https://www.shahittopata.com', 0.136986301369863]
['https://www.consolidated.com', 0.14383561643835616]
['https://www.emergingthreats.net', 0.136986301369863]
['https://www.connectioncafe.com', 0.1643835616438356]
['https://www.wolfeye.us', 0.17123287671232876]
['https://www.securew2.com', 0.1232876712328767]
['https://www.nwfusion.com', 0.1232876712328767]
['https://www.itsallwidgets.com', 0.1506849315068493]
['https://www.lightbluetouchpaper.org', 0.1643835616438356]
['https://www.iotworldtoday.com', 0.13013698630136986]
['https://www.sourcesecurity.com', 0.14383561643835616]
['https://www.altenens.is', 0.13013698630136986]
['https://www.allyou.net', 0.1232876712328767]
['https://www.quttera.com', 0.136986301369863]
['https://www.ovh.ie', 0.136986301369863]
['https://www.insightsforprofessionals.com', 0.1643835616438356]
['https://www.libretro.com', 0.15753424657534246]
['https://www.greatis.com', 0.1506849315068493]
['https://www.powerdmarc.com', 0.136986301369863]
['https://www.shuftipro.com', 0.136986301369863]
['https://www.yegara.com', 0.1232876712328767]
['https://www.kemptechnologies.com', 0.1232876712328767]
['https://www.circl.lu', 0.1780821917808219]
['https://www.tahawultech.com', 0.13013698630136986]
['https://www.zdziarski.com', 0.13013698630136986]
['https://www.informationsecuritybuzz.com', 0.15753424657534246]
['https://www.pirateproxy.space', 0.1506849315068493]
['https://www.devicelock.com', 0.15753424657534246]
['https://www.urlisolation.com', 0.136986301369863]
['https://www.whonix.org', 0.136986301369863]
['https://www.spamtitan.com', 0.17123287671232876]
['https://www.wpcerber.com', 0.15753424657534246]
['https://www.dshield.org', 0.1643835616438356]
['https://www.free-av.de', 0.1780821917808219]
['https://www.esentire.com', 0.13013698630136986]
['https://www.oodaloop.com', 0.1232876712328767]
['https://www.entrustdatacard.com', 0.14383561643835616]
['https://www.askwoody.com', 0.15753424657534246]
['https://www.milidrag.com', 0.136986301369863]
['https://www.365crack.com', 0.136986301369863]
['https://www.darknet.org.uk', 0.15753424657534246]
['https://www.infrequently.org', 0.15753424657534246]
['https://www.windstreamenterprise.com', 0.1232876712328767]
['https://www.bhaifi.com', 0.1506849315068493]
['https://www.cdillc.com', 0.1643835616438356]
['https://www.safesearchkids.com', 0.136986301369863]
['https://www.benjaminfulford.net', 0.1780821917808219]
['https://www.thebitbag.com', 0.1506849315068493]
['https://www.scanguardreview.com', 0.15753424657534246]
['https://www.thalesesecurity.com', 0.1643835616438356]
['https://www.dnsexit.com', 0.1232876712328767]
['https://www.msgpack.org', 0.136986301369863]
['https://www.icsalabs.com', 0.1643835616438356]
['https://www.reverseaustralia.com', 0.1643835616438356]
['https://www.goanywhere.com', 0.1232876712328767]
['https://www.hostingdata.co.uk', 0.14383561643835616]
['https://www.sensorstechforum.com', 0.17123287671232876]
['https://www.wombatsecurity.com', 0.13013698630136986]
['https://www.cpm-ad.com', 0.14383561643835616]
['https://www.goteleport.com', 0.1232876712328767]
['https://www.spinupwp.com', 0.1506849315068493]
['https://www.schooljobs.com', 0.15753424657534246]
['https://www.joesecurity.org', 0.15753424657534246]
['https://www.antionline.com', 0.1506849315068493]
['https://www.nozominetworks.com', 0.1506849315068493]
['https://www.cloud4c.com', 0.1232876712328767]
['https://www.pureftpd.org', 0.136986301369863]
['https://www.staysmartonline.gov.au', 0.136986301369863]
['https://www.elevenpaths.com', 0.13013698630136986]
['https://www.belugacdn.com', 0.13013698630136986]
['https://www.avanan.com', 0.1232876712328767]
['https://www.metanetworks.com', 0.136986301369863]
['https://www.xecurify.com', 0.17123287671232876]
['https://www.webroot-com-safe.com', 0.1643835616438356]
['https://www.researchsnipers.com', 0.1232876712328767]
['https://www.mcafeesmcafee.com', 0.17123287671232876]
['https://www.i-hls.com', 0.14383561643835616]
['https://www.nitrokey.com', 0.1643835616438356]
['https://www.endpointprotector.com', 0.13013698630136986]
['https://www.hellboundhackers.org', 0.17123287671232876]
['https://www.cure53.de', 0.136986301369863]
['https://www.cyclonis.com', 0.15753424657534246]
['https://www.outpost24.com', 0.1232876712328767]
['https://www.novirusthanks.org', 0.14383561643835616]
['https://www.dark0de-marketurl.link', 0.1232876712328767]
['https://www.50languages.com', 0.1232876712328767]
['https://www.dominiccummings.com', 0.1506849315068493]
['https://www.infopackets.com', 0.1780821917808219]
['https://www.sourceable.net', 0.15753424657534246]
['https://www.duocircle.com', 0.136986301369863]
['https://www.mobizen.com', 0.14383561643835616]
['https://www.ayeshapc.com', 0.1232876712328767]
['https://www.breachlevelindex.com', 0.1643835616438356]
['https://www.quarkslab.com', 0.136986301369863]
['https://www.zorinaq.com', 0.1506849315068493]
['https://www.greatfirewallofchina.org', 0.1232876712328767]
['https://www.techglimpse.com', 0.1232876712328767]
['https://www.imcafeecomactivatee.com', 0.14383561643835616]
['https://www.ibrave.io', 0.14383561643835616]
['https://www.dnsfilter.com', 0.1232876712328767]
['https://www.threatmetrix.com', 0.1232876712328767]
['https://www.cgisecurity.com', 0.1780821917808219]
['https://www.ipr-roma.org', 0.136986301369863]
['https://www.api.ai', 0.14383561643835616]
['https://www.ikarus.at', 0.1506849315068493]
['https://www.ultratools.com', 0.13013698630136986]
['https://www.ubuntu.com.cn', 0.13013698630136986]
['https://www.ipv6forum.com', 0.17123287671232876]
['https://www.centretechnologies.com', 0.1232876712328767]
['https://www.inbodyusa.com', 0.136986301369863]
['https://www.world-marketurl.link', 0.1232876712328767]
['https://www.crackkey4u.com', 0.1232876712328767]
['https://www.idquantique.com', 0.13013698630136986]
['https://www.uowdubai.ac.ae', 0.13013698630136986]
['https://www.skullsecurity.org', 0.136986301369863]
['https://www.saferemr.com', 0.1506849315068493]
['https://www.cisomag.com', 0.1780821917808219]
['https://www.kitsonlinetrainings.com', 0.136986301369863]
['https://www.wallstreetandtech.com', 0.1232876712328767]
['https://www.surveymethods.com', 0.1506849315068493]
['https://www.locklizard.com', 0.1232876712328767]
['https://www.attivonetworks.com', 0.1232876712328767]
['https://www.fiveriversit.com', 0.17123287671232876]
['https://www.bestwebhostingaustralia.org', 0.14383561643835616]
['https://www.coreinfrastructure.org', 0.13013698630136986]
['https://www.orca.security', 0.13013698630136986]
['https://www.ultimatewindowssecurity.com', 0.1232876712328767]
['https://www.securysearch.com', 0.1506849315068493]
['https://www.planisys.net', 0.1232876712328767]
['https://www.antivir.de', 0.1780821917808219]
['https://www.thepirateproxybay.com', 0.14383561643835616]
['https://www.nttsecurity.com', 0.1232876712328767]
['https://www.securityonline.info', 0.1506849315068493]
['https://www.golang.cafe', 0.1232876712328767]
['https://www.secpoint.com', 0.1780821917808219]
['https://www.iwar.org.uk', 0.1506849315068493]
['https://www.maedeh-yeganeh.ir', 0.13013698630136986]
['https://www.corelan.be', 0.13013698630136986]
['https://www.gridinsoft.com', 0.136986301369863]
['https://www.expertinsights.com', 0.1232876712328767]
['https://www.histalk2.com', 0.1232876712328767]
['https://www.itsecurityguru.org', 0.14383561643835616]
['https://www.rapidsslonline.com', 0.14383561643835616]
['https://www.pritunl.com', 0.1232876712328767]
['https://www.storifygo.com', 0.1506849315068493]
['https://www.efail.de', 0.17123287671232876]
['https://www.distilnetworks.com', 0.1506849315068493]
['https://www.openvpn.com', 0.1506849315068493]
['https://www.quickbox.io', 0.136986301369863]
['https://www.firewalla.com', 0.1506849315068493]
['https://www.networkafterwork.com', 0.14383561643835616]
['https://www.medicaresolutions.com', 0.15753424657534246]
['https://www.keyhelp.de', 0.14383561643835616]
['https://www.megaleecher.net', 0.13013698630136986]
['https://www.techtalkthai.com', 0.13013698630136986]
['https://www.iplocation.io', 0.13013698630136986]
['https://www.mitnicksecurity.com', 0.1643835616438356]
['https://www.cheapdomainregistration.com', 0.136986301369863]
['https://www.reversinglabs.com', 0.1232876712328767]
['https://www.cybersecurityintelligence.com', 0.15753424657534246]
['https://www.mcafecom-activat1.org', 0.14383561643835616]
['https://www.antivirusguide.com', 0.14383561643835616]
['https://www.savemoney.es', 0.136986301369863]
