['https://www.aliyun.com', 0.19863013698630136]
['https://www.bleepingcomputer.com', 0.2054794520547945]
['https://www.krebsonsecurity.com', 0.2808219178082192]
['https://www.fortinet.com', 0.18493150684931506]
['https://www.wordfence.com', 0.1917808219178082]
['https://www.threatpost.com', 0.1917808219178082]
['https://www.alibabacloud.com', 0.19863013698630136]
['https://www.zonealarm.com', 0.1917808219178082]
['https://www.bestantiviruspro.org', 0.1917808219178082]
['https://www.securityintelligence.com', 0.19863013698630136]
['https://www.securityweek.com', 0.2054794520547945]
['https://www.bankinfosecurity.com', 0.2054794520547945]
['https://www.cialiswithdapoxetine.com', 0.2054794520547945]
['https://www.safetydetectives.com', 0.2191780821917808]
['https://www.cybernews.com', 0.1917808219178082]
['https://www.saasblog.org', 0.19863013698630136]
['https://www.sendmail.org', 0.1917808219178082]
['https://www.mactech.com', 0.19863013698630136]
['https://www.hacked.com', 0.22602739726027396]
['https://www.thepiratebay.cx', 0.1917808219178082]
['https://www.vendaria.net', 0.18493150684931506]
['https://www.phptherightway.com', 0.2054794520547945]
['https://www.databreachtoday.com', 0.2328767123287671]
['https://www.opensourcelibs.com', 0.2328767123287671]
['https://www.antivirus-review.com', 0.2054794520547945]
['https://www.2-spyware.com', 0.2054794520547945]
['https://www.enigmasoftware.com', 0.2602739726027397]
['https://www.homelandsecuritynewswire.com', 0.18493150684931506]
['https://www.vpnranks.com', 0.22602739726027396]
['https://www.govinfosecurity.com', 0.22602739726027396]
['https://www.dankaminsky.com', 0.363013698630137]
['https://www.ctl.io', 0.2191780821917808]
['https://www.privacyaffairs.com', 0.19863013698630136]
['https://www.deepwebsiteslinks.com', 0.2054794520547945]
['https://www.yardbook.com', 0.18493150684931506]
['https://www.thepiratesbay.com', 0.21232876712328766]
['https://www.forticlient.com', 0.2671232876712329]
['https://www.benselect.com', 0.2328767123287671]
['https://www.childrensermons.com', 0.2876712328767123]
['https://www.driversandshield.com', 0.19863013698630136]
['https://www.firewall.cx', 0.18493150684931506]
['https://www.mylittlesalesman.com', 0.1917808219178082]
['https://www.cyberskills.training', 0.2054794520547945]
['https://www.isoeh.com', 0.21232876712328766]
['https://www.securitynewspaper.com', 0.2671232876712329]
['https://www.howtofix.guide', 0.1917808219178082]
['https://www.sendmail.com', 0.1917808219178082]
['https://www.scholarshare529.com', 0.22602739726027396]
['https://www.truth11.com', 0.18493150684931506]
['https://www.healthcareinfosecurity.com', 0.2054794520547945]
['https://www.vnetindia.com', 0.2328767123287671]
['https://www.inforisktoday.com', 0.2191780821917808]
['https://www.gnucitizen.org', 0.21232876712328766]
['https://www.qrator.net', 0.18493150684931506]
['https://www.safetydetective.com', 0.2191780821917808]
['https://www.safesquid.com', 0.1917808219178082]
['https://www.arxan.com', 0.2054794520547945]
['https://www.hackercombat.com', 0.2054794520547945]
['https://www.tinysoftware.com', 0.19863013698630136]
['https://www.haxf4rall.com', 0.1917808219178082]
['https://www.softwarelab.org', 0.19863013698630136]
['https://www.ofnumbers.com', 0.3013698630136986]
['https://www.amavis.org', 0.2328767123287671]
['https://www.k12cybersecure.com', 0.19863013698630136]
['https://www.blackmoreops.com', 0.2054794520547945]
['https://www.techhardsoft.net', 0.2054794520547945]
['https://www.misaves.com', 0.22602739726027396]
['https://www.guardiandigital.com', 0.18493150684931506]
['https://www.watchesshopsuk.co.uk', 0.2808219178082192]
['https://www.vpnparadise.com', 0.18493150684931506]
['https://www.mp2203.com', 0.21232876712328766]
['https://www.qbssoftware.com', 0.18493150684931506]
['https://www.garry.tv', 0.2191780821917808]
['https://www.antivirussupporthelpdesk.com', 0.22602739726027396]
['https://www.webrootcomsafee.us', 0.22602739726027396]
['https://www.tipandtrick.net', 0.2191780821917808]
['https://www.fuli288.com', 0.2671232876712329]
['https://www.scriptingosx.com', 0.1917808219178082]
['https://www.powertech.com', 0.18493150684931506]
['https://www.ncsi.com', 0.2191780821917808]
['https://www.chipx86.com', 0.19863013698630136]
['https://www.dcgla.com', 0.18493150684931506]
['https://www.vrml.org', 0.19863013698630136]
['https://www.pcloadletter.co.uk', 0.21232876712328766]
['https://www.aidanfinn.com', 0.19863013698630136]
['https://www.ownwatches.co.uk', 0.3972602739726027]
['https://www.gatefy.com', 0.1917808219178082]
['https://www.sjoerdlangkemper.nl', 0.2808219178082192]
['https://www.cascholarshare529.com', 0.22602739726027396]
['https://www.mp2200.com', 0.21232876712328766]
['https://www.enlightcloud.com', 0.2602739726027397]
['https://www.xamin.com', 0.18493150684931506]
['https://www.iansresearch.com', 0.22602739726027396]
['https://www.bentearth.com', 0.3013698630136986]
['https://www.top10antivirus.review', 0.2465753424657534]
['https://www.asksawal.com', 0.22602739726027396]
['https://www.newsletterlandingpageexample.com', 0.2945205479452055]
['https://www.torrentscan.com', 0.21232876712328766]
['https://www.ny8858.com', 0.2534246575342466]
['https://www.lastwatchdog.com', 0.2465753424657534]
['https://www.privacycritic.com', 0.19863013698630136]
['https://www.opaqnetworks.com', 0.21232876712328766]
['https://www.trojan-killer.net', 0.1917808219178082]
['https://www.bettercrypto.org', 0.3013698630136986]
['https://www.mp2201.com', 0.21232876712328766]
['https://www.stoanova.org', 0.19863013698630136]
['https://www.dotmagazine.online', 0.1917808219178082]
['https://www.bankinfosecurity.asia', 0.2054794520547945]
['https://www.urbannetwork.co.uk', 0.2602739726027397]
['https://www.scholarshare.com', 0.22602739726027396]
['https://www.path2college529.com', 0.22602739726027396]
['https://www.certdepot.net', 0.21232876712328766]
['https://www.cyber.wtf', 0.2876712328767123]
['https://www.softvire.com.au', 0.1917808219178082]
['https://www.thevotingnews.com', 0.18493150684931506]
['https://www.mrhacker.co', 0.21232876712328766]
['https://www.bc.net', 0.2191780821917808]
['https://www.careersinfosecurity.com', 0.2191780821917808]
['https://www.secproject.com', 0.18493150684931506]
['https://www.msigeek.com', 0.2191780821917808]
['https://www.dl-mingda.com', 0.21232876712328766]
['https://www.infosectoday.com', 0.3082191780821918]
['https://www.threatpost.ru', 0.1917808219178082]
['https://www.securitum.com', 0.2602739726027397]
['https://www.topvpnservice.com', 0.1917808219178082]
['https://www.michigan-529.com', 0.22602739726027396]
